Sample_Date,WRRF_Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School-Aged Population,Season,Holiday
2022-01-26,Owls Head,12557.0,4670000.0,906442,135396.0,Winter 2021,0
2022-01-26,Port Richmond,9829.0,3780000.0,226167,46435.0,Winter 2021,0
2022-01-26,Red Hook,6620.0,2570000.0,224029,33636.0,Winter 2021,0
2022-01-26,Rockaway,4666.0,2640000.0,120539,29986.0,Winter 2021,0
2022-01-26,Tallman Island,9566.0,4190000.0,449907,74748.0,Winter 2021,0
2022-01-26,Wards Island,5815.0,2070000.0,1201485,240219.0,Winter 2021,0
2022-01-31,26th Ward,5534.0,3530000.0,290608,72091.0,Winter 2021,0
2022-01-31,Bowery Bay,5902.0,2200000.0,924695,122994.0,Winter 2021,0
2022-01-31,Coney Island,5010.0,2030000.0,682342,117865.0,Winter 2021,0
2022-01-31,Hunts Point,1896.0,1220000.0,755948,151282.0,Winter 2021,0
2022-01-31,Jamaica Bay,5879.0,2260000.0,748737,131881.0,Winter 2021,0
2022-01-31,Newtown Creek,1459.0,888000.0,1156473,188137.0,Winter 2021,0
2022-01-31,North River,3132.0,1820000.0,658596,72242.0,Winter 2021,0
2022-01-31,Oakwood Beach,4093.0,1470000.0,258731,44374.0,Winter 2021,0
2022-01-31,Owls Head,9481.0,3760000.0,906442,135396.0,Winter 2021,0
2022-01-31,Port Richmond,5930.0,2480000.0,226167,46435.0,Winter 2021,0
2022-01-31,Red Hook,4265.0,1870000.0,224029,33636.0,Winter 2021,0
2022-01-31,Rockaway,824.0,440000.0,120539,29986.0,Winter 2021,0
2022-01-31,Tallman Island,5222.0,2420000.0,449907,74748.0,Winter 2021,0
2022-01-31,Wards Island,5263.0,2570000.0,1201485,240219.0,Winter 2021,0
2022-02-02,26th Ward,5208.0,3870000.0,290608,72091.0,Winter 2021,0
2022-02-02,Bowery Bay,4518.0,2130000.0,924695,122994.0,Winter 2021,0
2022-02-02,Coney Island,4987.0,2410000.0,682342,117865.0,Winter 2021,0
2022-02-02,Hunts Point,2091.0,1490000.0,755948,151282.0,Winter 2021,0
2022-02-02,Jamaica Bay,4616.0,1940000.0,748737,131881.0,Winter 2021,0
2022-02-02,Newtown Creek,2681.0,1990000.0,1156473,188137.0,Winter 2021,0
2022-02-02,North River,4553.0,3010000.0,658596,72242.0,Winter 2021,0
2022-02-02,Oakwood Beach,2454.0,973000.0,258731,44374.0,Winter 2021,0
2022-02-02,Owls Head,4837.0,2460000.0,906442,135396.0,Winter 2021,0
2022-02-02,Port Richmond,3746.0,1690000.0,226167,46435.0,Winter 2021,0
2022-02-02,Red Hook,3256.0,1820000.0,224029,33636.0,Winter 2021,0
2022-02-02,Rockaway,2058.0,1230000.0,120539,29986.0,Winter 2021,0
2022-02-02,Tallman Island,4961.0,2710000.0,449907,74748.0,Winter 2021,0
