Test Date,WRRF Name,Gene Copies (N1/L),Per Capita Gene Copies,"Population Served, estimated",School Status,School-Aged Population,Season,Holiday
2020-10-14,Hunts Point,1822.0,1414059.02,755948,All Grades,151282.0,Fall 2020,0
2020-10-14,Jamaica Bay,2170.0,866719.84,748737,All Grades,131881.0,Fall 2020,0
2020-10-14,Newtown Creek,2102.0,1417415.71,1156473,All Grades,188137.0,Fall 2020,0
2020-10-14,North River,1011.0,610378.22,658596,All Grades,72242.0,Fall 2020,0
2020-10-14,Oakwood Beach,1713.0,794402.88,258731,All Grades,44374.0,Fall 2020,0
2020-10-14,Owls Head,4672.0,1892693.36,906442,All Grades,135396.0,Fall 2020,0
2020-10-14,Port Richmond,2006.0,1051117.01,226167,All Grades,46435.0,Fall 2020,0
2020-10-14,Red Hook,1295.0,634501.17,224029,All Grades,33636.0,Fall 2020,0
2020-10-14,Rockaway,1044.0,688572.55,120539,All Grades,29986.0,Fall 2020,0
2020-10-14,Tallman Island,540.0,309194.91,449907,All Grades,74748.0,Fall 2020,0
2020-10-14,Wards Island,2066.0,1334360.17,1201485,All Grades,240219.0,Fall 2020,0
2020-10-19,26th Ward,589.0,360573.93,290608,All Grades,72091.0,Fall 2020,0
2020-10-19,Bowery Bay,3925.0,1542556.99,924695,All Grades,122994.0,Fall 2020,0
2020-10-19,Coney Island,2615.0,1204084.9,682342,All Grades,117865.0,Fall 2020,0
2020-10-19,Hunts Point,2565.0,1502723.13,755948,All Grades,151282.0,Fall 2020,0
2020-10-19,Jamaica Bay,1313.0,519384.23,748737,All Grades,131881.0,Fall 2020,0
2020-10-19,Newtown Creek,6101.0,3354708.66,1156473,All Grades,188137.0,Fall 2020,0
2020-10-19,North River,1479.0,765260.92,658596,All Grades,72242.0,Fall 2020,0
2020-10-19,Oakwood Beach,1793.0,748299.6,258731,All Grades,44374.0,Fall 2020,0
2020-10-19,Owls Head,7750.0,2815674.5,906442,All Grades,135396.0,Fall 2020,0
2020-10-19,Port Richmond,1229.0,514245.91,226167,All Grades,46435.0,Fall 2020,0
2020-10-19,Red Hook,1850.0,656558.66,224029,All Grades,33636.0,Fall 2020,0
2020-10-19,Rockaway,262.0,180885.72,120539,All Grades,29986.0,Fall 2020,0
2020-10-19,Tallman Island,608.0,327256.35,449907,All Grades,74748.0,Fall 2020,0
2020-10-19,Wards Island,444.0,243663.22,1201485,All Grades,240219.0,Fall 2020,0
2020-10-21,26th Ward,1754.0,1668238.66,290608,All Grades,72091.0,Fall 2020,0
2020-10-21,Bowery Bay,4378.0,1577173.2,924695,All Grades,122994.0,Fall 2020,0
2020-10-21,Coney Island,2453.0,1088640.01,682342,All Grades,117865.0,Fall 2020,0
2020-10-21,Hunts Point,2303.0,1280065.1,755948,All Grades,151282.0,Fall 2020,0
2020-10-21,Jamaica Bay,3808.0,1420015.48,748737,All Grades,131881.0,Fall 2020,0
2020-10-21,Newtown Creek,5293.0,2979664.88,1156473,All Grades,188137.0,Fall 2020,0
2020-10-21,North River,1789.0,945741.64,658596,All Grades,72242.0,Fall 2020,0
2020-10-21,Oakwood Beach,4795.0,1834358.63,258731,All Grades,44374.0,Fall 2020,0
2020-10-21,Owls Head,18230.0,6394851.12,906442,All Grades,135396.0,Fall 2020,0
2020-10-21,Port Richmond,3789.0,1521966.28,226167,All Grades,46435.0,Fall 2020,0
2020-10-21,Red Hook,1984.0,703878.26,224029,All Grades,33636.0,Fall 2020,0
2020-10-21,Rockaway,2720.0,1879345.18,120539,All Grades,29986.0,Fall 2020,0
2020-10-21,Tallman Island,2226.0,1104931.89,449907,All Grades,74748.0,Fall 2020,0
2020-10-21,Wards Island,3026.0,1649601.31,1201485,All Grades,240219.0,Fall 2020,0
2020-10-26,26th Ward,1652.0,989698.57,290608,All Grades,72091.0,Fall 2020,0
2020-10-26,Bowery Bay,2430.0,855582.47,924695,All Grades,122994.0,Fall 2020,0
2020-10-26,Coney Island,2615.0,1102519.97,682342,All Grades,117865.0,Fall 2020,0
2020-10-26,Hunts Point,2678.0,1461670.41,755948,All Grades,151282.0,Fall 2020,0
2020-10-26,Jamaica Bay,1754.0,663361.42,748737,All Grades,131881.0,Fall 2020,0
2020-10-26,Newtown Creek,2759.0,1535087.8,1156473,All Grades,188137.0,Fall 2020,0
2020-10-26,North River,1708.0,853973.3,658596,All Grades,72242.0,Fall 2020,0
2020-10-26,Oakwood Beach,3822.0,1386643.93,258731,All Grades,44374.0,Fall 2020,0
2020-10-26,Owls Head,5718.0,2101283.14,906442,All Grades,135396.0,Fall 2020,0
2020-10-26,Port Richmond,2419.0,902980.25,226167,All Grades,46435.0,Fall 2020,0
2020-10-26,Red Hook,744.0,264029.38,224029,All Grades,33636.0,Fall 2020,0
2020-10-26,Rockaway,1272.0,758936.16,120539,All Grades,29986.0,Fall 2020,0
2020-10-26,Tallman Island,1797.0,755797.1,449907,All Grades,74748.0,Fall 2020,0
2020-10-26,Wards Island,2014.0,1059879.97,1201485,All Grades,240219.0,Fall 2020,0
2020-10-28,26th Ward,1927.0,1104489.82,290608,All Grades,72091.0,Fall 2020,0
2020-10-28,Bowery Bay,3913.0,1329526.71,924695,All Grades,122994.0,Fall 2020,0
2020-10-28,Coney Island,2216.0,872894.95,682342,All Grades,117865.0,Fall 2020,0
2020-10-28,Hunts Point,6656.0,4265992.05,755948,All Grades,151282.0,Fall 2020,0
2020-10-28,Jamaica Bay,2605.0,974694.55,748737,All Grades,131881.0,Fall 2020,0
2020-10-28,Newtown Creek,3132.0,1722378.91,1156473,All Grades,188137.0,Fall 2020,0
2020-10-28,North River,1723.0,861726.72,658596,All Grades,72242.0,Fall 2020,0
2020-10-28,Oakwood Beach,3148.0,1114677.03,258731,All Grades,44374.0,Fall 2020,0
2020-10-28,Owls Head,7189.0,2431804.9,906442,All Grades,135396.0,Fall 2020,0
2020-10-28,Port Richmond,4568.0,1727999.91,226167,All Grades,46435.0,Fall 2020,0
2020-10-28,Red Hook,5298.0,1969295.97,224029,All Grades,33636.0,Fall 2020,0
2020-10-28,Rockaway,884.0,499426.76,120539,All Grades,29986.0,Fall 2020,0
2020-10-28,Tallman Island,1621.0,682067.04,449907,All Grades,74748.0,Fall 2020,0
2020-10-28,Wards Island,3665.0,1916956.35,1201485,All Grades,240219.0,Fall 2020,0
2020-11-02,26th Ward,1577.0,1499180.01,290608,All Grades,72091.0,Fall 2020,0
2020-11-02,Bowery Bay,4299.0,2481274.94,924695,All Grades,122994.0,Fall 2020,0
2020-11-02,Coney Island,2390.0,1206484.01,682342,All Grades,117865.0,Fall 2020,0
2020-11-03,Hunts Point,2302.0,1833005.95,755948,All Grades,151282.0,Fall 2020,0
2020-11-02,Jamaica Bay,2492.0,1247474.22,748737,All Grades,131881.0,Fall 2020,0
2020-11-02,Newtown Creek,2597.0,1938146.4,1156473,All Grades,188137.0,Fall 2020,0
2020-11-02,North River,1673.0,1000227.46,658596,All Grades,72242.0,Fall 2020,0
2020-11-02,Oakwood Beach,2845.0,1344229.96,258731,All Grades,44374.0,Fall 2020,0
2020-11-02,Owls Head,7666.0,3489667.15,906442,All Grades,135396.0,Fall 2020,0
